Rank,ReleaseYear,year,Movie_first,Movie_second,DomesticGross,WorldwideGross,movieId
3043,2006-09-30,2006,The Queen,NA,56441711,128885873,tt0436697
3044,2007-10-12,2007,Why Did I Get Married?,NA,55204525,55934178,tt0906108
3045,2012-02-03,2012,The Woman in Black,NA,54333290,128955898,tt1596365
3046,1994-12-21,1994,Little Women,NA,50003303,50003303,tt0110367
3048,2018-08-09,2018,BlacKkKlansman,NA,49275340,93118210,tt7349662
3049,2006-02-03,2006,When a Stranger Calls,NA,47860214,67215435,tt0455857
3050,2002-02-08,2002,Big Fat Liar,NA,47811275,52461017,tt0265298
3051,1997-08-15,1997,Cop Land,NA,44906632,63706632,tt0118887
3052,1997-12-25,1997,Wag the Dog,NA,43057470,64252038,tt0120885
3053,2013-02-21,2013,Snitch,NA,42930462,57907734,tt0882977
3054,2003-05-02,2003,The Lizzie McGuire Movie,NA,42734455,55534455,tt0306841
3055,2015-12-02,2015,Krampus,NA,42725475,61788393,tt3850590
3056,2012-09-20,2012,End of Watch,NA,41003371,57586606,tt1855199
3057,1998-12-25,1998,The Faculty,NA,40283321,40283321,tt0133751
3058,1993-06-09,1993,What's Love Got to Do With It,NA,39100956,39100956,tt0108551
3059,2001-12-14,2001,Not Another Teen Movie,NA,37882551,62401343,tt0277371
3060,2014-12-03,2014,Wild,NA,37880356,52460543,tt2305051
3061,1962-12-16,1962,Lawrence of Arabia,NA,37495385,69995385,tt0056172
3062,2014-11-07,2014,The Theory of Everything,NA,35893537,123327692,tt2980516
3063,2011-09-16,2011,Drive,NA,35060689,81357930,tt0780504
3064,2000-03-31,2000,The Skulls,NA,35007180,35007180,tt0192614
3065,1966-10-10,1966,Hawaii,NA,34562222,34562222,tt0060491
3066,2018-11-23,2018,The Favourite,NA,34366783,94069024,tt5083738
3067,2003-04-18,2003,Malibu's Most Wanted,NA,34308901,34499204,tt0328099
3068,2009-09-04,2009,All About Steve,NA,33862903,40127259,tt0881891
3069,2000-04-28,2000,Where the Heart Is,NA,33771174,40862054,tt0198021
3070,2009-08-28,2009,Halloween 2,NA,33392973,38512850,"NA"
3071,2009-03-13,2009,The Last House on the Left,NA,32752215,46526243,tt0844708
3072,2005-02-18,2005,Because of Winn-Dixie,NA,32647042,33508485,tt0317132
3073,2005-02-04,2005,The Wedding Date,NA,31726995,47175038,tt0372532
3074,1987-09-25,1987,The Princess Bride,NA,30857000,30873940,tt0093779
3075,2002-07-12,2002,Halloween,Resurrection,30259652,37659652,tt0220506
3076,2007-12-25,2007,The Great Debaters,NA,30226144,30261293,tt0427309
3077,2014-08-22,2014,When the Game Stands Tall,NA,30127963,30138912,tt2247476
